0	0.325779 0.2433 0.314455 0.116465 
1	0.312148 0.33042 0.211007 0.146426 
2	0.321369 0.0345471 0.327143 0.316941 
3	0.322679 0.199313 0.299653 0.178355 
4	0.317476 0.331069 0.304059 0.0473965 
5	0.159538 0.206338 0.329114 0.305011 
6	0.322487 0.121918 0.295112 0.260483 
7	0.329229 0.283534 0.291404 0.0958331 
8	0.326966 0.211658 0.312468 0.148908 
9	0.330651 0.112813 0.223571 0.332965 
10	0.329344 0.0426515 0.294908 0.333097 
11	0.205555 0.210193 0.328482 0.25577 
12	0.327801 0.262915 0.285952 0.123332 
13	0.328767 0.288037 0.302532 0.0806638 
14	0.329894 0.172818 0.171722 0.325566 
15	0.320206 0.312302 0.270685 0.0968061 
16	0.322766 0.199409 0.201315 0.276511 
17	0.328509 0.0838781 0.258367 0.329246 
18	0.18213 0.22736 0.328456 0.262054 
19	0.319447 0.0694833 0.286071 0.324999 
20	0.330802 0.190113 0.308764 0.170321 
21	0.331249 0.0121247 0.323798 0.332828 
22	0.328809 0.167508 0.180419 0.323264 
23	0.324282 0.19555 0.190003 0.290165 
24	0.327197 0.166031 0.185279 0.321493 
25	0.326503 0.26139 0.3155 0.0966066 
26	0.326348 0.117569 0.332092 0.223991 
27	0.320858 0.311266 0.325653 0.042223 
28	0.305824 0.0933919 0.317648 0.283136 
29	0.328374 0.185753 0.156101 0.329772 
30	0.313215 0.145134 0.307367 0.234283 
31	0.318146 0.0341581 0.322976 0.324719 
32	0.329316 0.297852 0.286984 0.0858484 
33	0.327823 0.126571 0.289303 0.256303 
34	0.328531 0.220171 0.285978 0.165319 
35	0.329073 0.306114 0.309381 0.055432 
36	0.327583 0.303746 0.297521 0.0711507 
37	0.331943 0.104707 0.231901 0.33145 
38	0.256198 0.17568 0.285919 0.282203 
39	0.325402 0.201241 0.293111 0.180246 
40	0.0932925 0.313057 0.305234 0.288417 
41	0.323421 0.0379382 0.309963 0.328678 
42	0.326521 0.251459 0.331193 0.0908268 
43	0.324341 0.200828 0.303805 0.171026 
44	0.327278 0.0535369 0.288007 0.331178 
45	0.328051 0.108774 0.307389 0.255785 
46	0.321908 0.204364 0.204917 0.268811 
47	0.0794707 0.32249 0.325783 0.272256 
48	0.303861 0.224448 0.207791 0.2639 
49	0.310643 0.0277952 0.330731 0.330831 
50	0.306819 0.161813 0.214964 0.316404 
51	0.323228 0.201867 0.306156 0.16875 
52	0.327706 0.269442 0.289612 0.11324 
53	0.33076 0.314735 0.30636 0.0481442 
54	0.328987 0.299819 0.29838 0.072813 
55	0.296857 0.100964 0.297103 0.305076 
56	0.309322 0.153074 0.305604 0.232 
57	0.318758 0.248113 0.165533 0.267596 
58	0.32462 0.185384 0.298795 0.1912 
59	0.331808 0.266408 0.310383 0.0914007 
60	0.273934 0.318618 0.325823 0.0816246 
61	0.323748 0.0875301 0.310165 0.278557 
62	0.327157 0.21921 0.313352 0.140281 
63	0.325 0.213292 0.274686 0.187021 
64	0.330351 0.0893595 0.25351 0.326779 
65	0.319237 0.0766637 0.28183 0.32227 
66	0.318411 0.243213 0.220482 0.217894 
67	0.280323 0.318341 0.211182 0.190155 
68	0.326883 0.183141 0.183069 0.306906 
69	0.332146 0.0408666 0.306341 0.320647 
70	0.302412 0.144628 0.225607 0.327353 
71	0.32459 0.0200498 0.329047 0.326313 
72	0.321668 0.121081 0.257815 0.299436 
73	0.332768 0.333186 0.239939 0.0941065 
74	0.331387 0.126177 0.213408 0.329027 
75	0.320575 0.216009 0.18012 0.283296 
76	0.309062 0.0335462 0.329406 0.327986 
77	0.330301 0.321944 0.305539 0.0422164 
78	0.329014 0.291514 0.296441 0.0830303 
79	0.330449 0.329421 0.301016 0.0391148 
80	0.314844 0.204315 0.198831 0.282009 
81	0.329115 0.273986 0.296891 0.100009 
82	0.324968 0.0735403 0.317156 0.284335 
83	0.324682 0.0652454 0.283437 0.326635 
84	0.324598 0.211534 0.285793 0.178075 
85	0.325833 0.21241 0.311044 0.150713 
86	0.324426 0.0499414 0.313334 0.312299 
87	0.328037 0.257386 0.28596 0.128617 
88	0.327615 0.300706 0.329452 0.0422271 
89	0.324205 0.19617 0.17445 0.305176 
90	0.324472 0.196775 0.294104 0.184649 
91	0.333298 0.06608 0.269695 0.330927 
92	0.322279 0.181708 0.3021 0.193913 
93	0.301711 0.220699 0.164014 0.313576 
94	0.331387 0.144636 0.190714 0.333263 
95	0.327473 0.194987 0.285751 0.191789 
96	0.315387 0.221545 0.16788 0.295187 
97	0.304624 0.0320304 0.33284 0.330506 
98	0.322705 0.3229 0.269518 0.0848767 
99	0.331692 0.0738094 0.264571 0.329927 
100	0.29718 0.150745 0.226898 0.325177 
101	0.323846 0.135357 0.231891 0.308905 
102	0.333327 0.318282 0.32765 0.0207412 
103	0.330507 0.228576 0.330036 0.11088 
104	0.331686 0.256077 0.330127 0.0821105 
105	0.321183 0.254788 0.233255 0.190774 
106	0.313613 0.0619213 0.305705 0.318761 
107	0.32716 0.30743 0.28362 0.0817905 
108	0.308453 0.212538 0.266048 0.212961 
109	0.33133 0.311121 0.3236 0.0339483 
110	0.323665 0.188573 0.293622 0.194141 
111	0.324047 0.222405 0.298115 0.155433 
112	0.332019 0.0600716 0.277622 0.330287 
113	0.329113 0.0504859 0.300612 0.31979 
114	0.329646 0.259186 0.320324 0.0908442 
115	0.326756 0.302301 0.329919 0.041024 
116	0.325705 0.202335 0.293605 0.178355 
117	0.277958 0.168989 0.302477 0.250576 
118	0.319706 0.162367 0.188106 0.329821 
119	0.332544 0.333244 0.289637 0.0445755 
120	0.302482 0.117367 0.252031 0.328121 
121	0.327217 0.286416 0.283104 0.103263 
122	0.329816 0.154159 0.189244 0.32678 
123	0.328292 0.257687 0.312967 0.101054 
124	0.295758 0.315566 0.215814 0.172862 
125	0.328678 0.332989 0.221444 0.116889 
126	0.332301 0.332307 0.279577 0.055816 
127	0.322366 0.329008 0.227803 0.120823 
128	0.324162 0.0118005 0.332268 0.331769 
129	0.223023 0.190333 0.329815 0.256829 
130	0.330794 0.333206 0.214162 0.121839 
131	0.299161 0.330544 0.217834 0.152461 
132	0.3085 0.331199 0.221424 0.138877 
133	0.28579 0.329564 0.236293 0.148353 
134	0.313491 0.330339 0.247741 0.108428 
135	0.324545 0.32967 0.218099 0.127686 
136	0.320123 0.32895 0.322459 0.0284686 
137	0.293339 0.32688 0.224327 0.155454 
138	0.313479 0.331258 0.210815 0.144448 
139	0.328261 0.256638 0.313217 0.101884 
140	0.330122 0.330616 0.252454 0.0868082 
141	0.326467 0.330563 0.212063 0.130906 
142	0.30951 0.3295 0.232768 0.128222 
143	0.153983 0.331615 0.327031 0.187371 
144	0.312507 0.329837 0.263261 0.0943953 
145	0.314051 0.33156 0.291486 0.0629031 
146	0.186236 0.303732 0.32896 0.181073 
147	0.332194 0.332686 0.273967 0.0611538 
148	0.322291 0.328998 0.331575 0.0171366 
149	0.323302 0.330969 0.214035 0.131694 
150	0.122309 0.332254 0.329848 0.215589 
151	0.310859 0.329949 0.248414 0.110779 
152	0.275343 0.332401 0.323122 0.069134 
153	0.318741 0.329823 0.33167 0.0197659 
154	0.323677 0.329704 0.217791 0.128828 
155	0.321877 0.331044 0.212397 0.134683 
156	0.0835353 0.321588 0.32975 0.265127 
157	0.280456 0.327183 0.329632 0.0627291 
158	0.314375 0.330177 0.237721 0.117727 
159	0.289846 0.327508 0.322139 0.060507 
160	0.323753 0.331668 0.283232 0.0613474 
161	0.235084 0.326309 0.332194 0.106414 
162	0.324785 0.32894 0.262396 0.0838784 
163	0.29537 0.330831 0.248339 0.12546 
164	0.302792 0.329943 0.300676 0.0665892 
165	0.289636 0.327127 0.244753 0.138484 
166	0.306988 0.321512 0.316223 0.0552766 
167	0.332352 0.333194 0.262567 0.0718879 
168	0.323657 0.331683 0.332949 0.0117108 
169	0.299926 0.331022 0.236866 0.132186 
170	0.307765 0.32982 0.268915 0.0934991 
171	0.190167 0.3291 0.317091 0.163642 
172	0.225394 0.325813 0.31736 0.131434 
173	0.331627 0.32976 0.233934 0.10468 
174	0.174567 0.328107 0.326582 0.170744 
175	0.114062 0.324561 0.324323 0.237054 
176	0.321305 0.33038 0.234775 0.11354 
177	0.138249 0.328755 0.320415 0.212582 
178	0.108511 0.300829 0.266121 0.324539 
179	0.320165 0.265212 0.269227 0.145397 
180	0.105634 0.330493 0.332377 0.231497 
181	0.3103 0.329446 0.233323 0.126931 
182	0.321874 0.327796 0.251169 0.0991612 
183	0.212477 0.31947 0.320467 0.147586 
184	0.329802 0.323177 0.306669 0.0403514 
185	0.269798 0.117063 0.283395 0.329745 
186	0.328304 0.331929 0.221657 0.11811 
187	0.301414 0.329806 0.229221 0.139559 
188	0.157436 0.293504 0.329966 0.219094 
189	0.198633 0.282954 0.265847 0.252566 
190	0.305988 0.0682332 0.323127 0.302652 
191	0.327666 0.33142 0.268711 0.0722034 
192	0.240621 0.329108 0.31144 0.118831 
193	0.304098 0.329503 0.251206 0.115193 
194	0.32304 0.328794 0.3226 0.0255654 
195	0.306091 0.329994 0.298046 0.0658682 
196	0.321506 0.330281 0.20989 0.138323 
197	0.254456 0.331775 0.326972 0.0867966 
198	0.333324 0.332899 0.23858 0.0951977 
199	0.323565 0.3293 0.299744 0.0473907 
200	0.272959 0.325715 0.297233 0.104092 
201	0.309228 0.330324 0.214023 0.146426 
202	0.320227 0.331384 0.294786 0.0536023 
203	0.137929 0.332019 0.308182 0.22187 
204	0.328075 0.333165 0.222822 0.115938 
205	0.32209 0.331041 0.208782 0.138087 
206	0.171093 0.332602 0.32071 0.175594 
207	0.299403 0.329751 0.277899 0.0929465 
208	0.231915 0.326799 0.303584 0.137702 
209	0.297387 0.330826 0.235614 0.136173 
210	0.287409 0.329463 0.286754 0.0963741 
211	0.2975 0.329304 0.32229 0.0509061 
212	0.218597 0.33307 0.317863 0.13047 
213	0.329494 0.332241 0.298083 0.040182 
